date,CSCO,XLK
2012-11-20,18.34,28.3
2012-11-21,18.48,28.39
2012-11-23,18.84,28.85
2012-11-26,19.055,28.975
2012-11-27,18.9597,28.8487
2012-11-28,18.83,29.02
2012-11-29,19.01,29.16
2012-11-30,18.91,29.13
2012-12-03,19.0302,29.09
2012-12-04,19.17,29.035
2012-12-05,19.21,28.75
2012-12-06,19.48,28.915
2012-12-07,19.335,28.77
2012-12-10,19.79,28.84
2012-12-11,19.78,29.23
2012-12-12,19.73,29.18
2012-12-13,19.74,28.97
2012-12-14,19.86,28.69
2012-12-17,20.11,29.04
2012-12-18,20.3814,29.47
2012-12-19,20.2697,29.32
2012-12-20,20.24,29.37
2012-12-21,19.96,28.95
2012-12-24,19.83,28.87
2012-12-26,19.92,28.71
2012-12-27,19.65,28.68
2012-12-28,19.4494,28.36
2012-12-31,19.6494,28.85
2013-01-02,20.34,29.81
2013-01-03,20.45,29.62
2013-01-04,20.4819,29.5
2013-01-07,20.2903,29.4612
2013-01-08,20.31,29.35
2013-01-09,20.3,29.4
2013-01-10,20.44,29.55
2013-01-11,20.48,29.59
2013-01-14,20.97,29.4
2013-01-15,20.98,29.21
2013-01-16,21.03,29.31
2013-01-17,20.95,29.43
2013-01-18,21.015,29.39
2013-01-22,20.87,29.47
2013-01-23,20.62,29.78
2013-01-24,21.02,29.27
2013-01-25,21.15,29.3
2013-01-28,21.06,29.4
2013-01-29,20.78,29.44
2013-01-30,20.58,29.35
2013-01-31,20.57,29.4
2013-02-01,20.83,29.73
2013-02-04,20.82,29.34
2013-02-05,21.08,29.68
2013-02-06,21.19,29.67
2013-02-07,21.095,29.67
2013-02-08,21.16,29.93
2013-02-11,21.27,29.99
2013-02-12,20.97,29.89
2013-02-13,21.14,29.88
2013-02-14,20.99,29.802
2013-02-15,20.99,29.78
2013-02-19,21.46,29.975
2013-02-20,21.105,29.57
2013-02-21,20.76,29.33
2013-02-22,20.9,29.69
2013-02-25,20.66,29.27
2013-02-26,20.608,29.442
2013-02-27,20.89,29.69
2013-02-28,20.855,29.63
2013-03-01,20.83,29.68
2013-03-04,20.74,29.77
2013-03-05,21.218,30.18
2013-03-06,21.715,30.16
2013-03-07,21.802,30.23
2013-03-08,21.83,30.29
2013-03-11,21.88,30.36
2013-03-12,21.7,30.25
2013-03-13,21.575,30.23
2013-03-14,21.59,30.445
2013-03-15,21.925,30.2
2013-03-18,21.67,30.21
2013-03-19,21.52,30.17
2013-03-20,21.67,30.32
2013-03-21,20.84,29.975
2013-03-22,20.75,30.172
2013-03-25,20.85,30.1
2013-03-26,20.845,30.29
2013-03-27,20.83,30.21
2013-03-28,20.895,30.27
2013-04-01,20.83,30.07
2013-04-02,21.22,30.19
2013-04-03,21.197,29.95
2013-04-04,21.04,29.96
2013-04-05,20.61,29.73
2013-04-08,20.57,29.86
2013-04-09,20.97,30.07
2013-04-10,21.47,30.6
2013-04-11,21.685,30.5
2013-04-12,21.54,30.365
2013-04-15,21.05,29.87
2013-04-16,21.16,30.24
2013-04-17,20.63,29.62
2013-04-18,20.58,29.31
2013-04-19,20.46,29.35
2013-04-22,20.59,29.575
2013-04-23,20.91,29.9
2013-04-24,20.39,29.95
2013-04-25,20.64,30.05
2013-04-26,20.67,30.04
