date,JCI,XHB
2012-07-26,24.14,21.52
2012-07-27,25.06,21.875
2012-07-30,24.71,21.5
2012-07-31,24.65,21.04
2012-08-01,24.31,20.84
2012-08-02,23.83,20.97
2012-08-03,24.59,21.44
2012-08-06,24.95,21.59
2012-08-07,26.02,21.99
2012-08-08,25.53,22.17
2012-08-09,25.91,22.43
2012-08-10,26.11,22.14
2012-08-13,26.13,22.2
2012-08-14,26.23,22.3
2012-08-15,26.35,22.37
2012-08-16,27.0,23.09
2012-08-17,27.38,23.43
2012-08-20,27.27,23.0
2012-08-21,26.99,22.91
2012-08-22,27.11,23.27
2012-08-23,26.91,23.16
2012-08-24,26.98,23.42
2012-08-27,26.93,23.29
2012-08-28,27.03,23.33
2012-08-29,27.15,23.48
2012-08-30,27.15,23.3
2012-08-31,27.21,23.59
2012-09-04,26.85,23.86
2012-09-05,26.7,23.78
2012-09-06,27.49,24.35
2012-09-07,27.77,24.39
2012-09-10,27.71,24.28
2012-09-11,28.14,24.39
2012-09-12,28.51,24.87
2012-09-13,28.78,25.295
2012-09-14,29.2,25.87
2012-09-17,28.71,25.47
2012-09-18,28.43,25.215
2012-09-19,29.08,25.66
2012-09-20,28.69,25.71
2012-09-21,28.45,25.93
2012-09-24,28.49,25.621
2012-09-25,27.49,25.175
2012-09-26,27.42,24.6
2012-09-27,27.62,25.04
2012-09-28,27.4,24.83
2012-10-01,27.65,24.7
2012-10-02,27.55,24.83
2012-10-03,27.55,25.38
2012-10-04,27.88,25.56
2012-10-05,27.85,25.84
2012-10-08,27.61,25.64
2012-10-09,26.85,25.01
2012-10-10,26.07,24.93
2012-10-11,26.23,24.74
2012-10-12,25.87,24.62
2012-10-15,26.0,25.18
2012-10-16,26.28,25.39
2012-10-17,26.33,25.88
2012-10-18,26.75,26.17
2012-10-19,26.19,26.11
2012-10-22,26.42,26.01
2012-10-23,26.17,25.89
2012-10-24,25.86,25.91
2012-10-25,26.16,25.62
2012-10-26,25.81,25.52
2012-10-31,25.75,26.04
2012-11-01,26.04,26.83
2012-11-02,26.25,26.36
2012-11-05,26.5,26.74
2012-11-06,26.72,26.7
2012-11-07,25.92,26.43
2012-11-08,25.59,25.96
2012-11-09,25.52,25.67
2012-11-12,25.54,25.29
2012-11-13,25.17,25.3
2012-11-14,24.94,24.61
2012-11-15,25.11,24.35
2012-11-16,25.09,24.89
2012-11-19,26.03,25.39
2012-11-20,26.19,25.97
2012-11-21,26.76,26.03
2012-11-23,27.22,26.37
2012-11-26,27.08,26.23
2012-11-27,26.97,26.22
2012-11-28,27.56,26.27
2012-11-29,27.67,26.28
2012-11-30,27.54,26.32
2012-12-03,27.28,26.21
2012-12-04,27.61,26.29
2012-12-05,27.41,25.65
2012-12-06,27.58,25.57
2012-12-07,28.14,25.58
2012-12-10,28.59,25.5487
2012-12-11,28.74,25.43
2012-12-12,28.65,25.85
2012-12-13,28.37,25.8
2012-12-14,28.2,25.6
2012-12-17,28.69,26.34
2012-12-18,29.22,26.89
2012-12-19,29.76,26.77
2012-12-20,30.01,26.86
2012-12-21,30.12,26.45
2012-12-24,30.15,26.29
2012-12-26,30.23,26.03
2012-12-27,30.38,26.03
2012-12-28,30.11,25.9
2012-12-31,30.67,26.6
2013-01-02,31.49,27.31
2013-01-03,31.8,27.39
2013-01-04,31.39,27.61
2013-01-07,31.53,27.42
2013-01-08,31.19,27.51
2013-01-09,31.42,27.75
2013-01-10,31.49,27.73
2013-01-11,31.67,27.77
2013-01-14,31.73,27.66
2013-01-15,31.82,27.87
2013-01-16,31.57,27.64
2013-01-17,31.96,28.15
2013-01-18,31.01,28.21
2013-01-22,30.85,28.31
2013-01-23,30.73,28.53
2013-01-24,30.88,28.84
2013-01-25,30.94,29.11
2013-01-28,30.89,28.81
2013-01-29,31.11,29.1
2013-01-30,31.05,28.82
2013-01-31,31.09,28.82
2013-02-01,31.24,28.75
2013-02-04,30.83,28.41
2013-02-05,31.37,28.63
2013-02-06,31.34,28.59
2013-02-07,30.62,28.31
2013-02-08,31.15,28.42
2013-02-11,31.17,28.38
2013-02-12,31.42,29.24
2013-02-13,31.65,29.26
2013-02-14,31.83,29.15
2013-02-15,32.14,29.08
2013-02-19,32.46,29.02
2013-02-20,31.84,27.73
2013-02-21,31.67,27.59
2013-02-22,31.31,27.94
2013-02-25,30.67,26.97
2013-02-26,30.83,27.77
2013-02-27,31.41,28.37
2013-02-28,31.47,28.3
2013-03-01,31.49,28.39
2013-03-04,31.49,28.75
2013-03-05,32.0,29.19
2013-03-06,32.63,29.2484
2013-03-07,33.41,29.19
2013-03-08,33.73,29.51
2013-03-11,33.97,29.68
2013-03-12,34.28,29.39
2013-03-13,34.47,29.53
2013-03-14,34.93,29.8
2013-03-15,34.97,29.7
2013-03-18,34.73,29.78
2013-03-19,34.77,29.8
2013-03-20,35.05,30.52
2013-03-21,34.86,29.93
2013-03-22,34.79,30.01
2013-03-25,34.61,29.89
2013-03-26,35.05,29.96
2013-03-27,35.09,30.13
2013-03-28,35.07,30.06
2013-04-01,34.43,29.55
2013-04-02,34.21,29.35
2013-04-03,33.78,28.52
2013-04-04,33.34,28.7
2013-04-05,33.02,28.91
2013-04-08,33.29,29.49
2013-04-09,33.5,29.27
2013-04-10,33.96,29.45
2013-04-11,33.98,29.56
2013-04-12,34.07,29.64
2013-04-15,33.04,28.17
2013-04-16,33.42,28.74
2013-04-17,32.54,28.38
2013-04-18,32.17,28.02
2013-04-19,32.64,28.7
2013-04-22,33.15,28.91
2013-04-23,33.49,29.65
2013-04-24,34.24,29.98
2013-04-25,35.11,30.4
2013-04-26,35.09,30.49
2013-04-29,35.1,30.5
2013-04-30,35.01,30.29
2013-05-01,34.49,29.83
2013-05-02,34.37,30.48
2013-05-03,34.89,30.86
2013-05-06,35.32,31.17
2013-05-07,35.75,31.28
2013-05-08,35.78,31.4
2013-05-09,36.24,31.47
2013-05-10,36.47,31.91
2013-05-13,36.82,31.92
2013-05-14,37.22,32.35
2013-05-15,36.75,32.44
2013-05-16,36.63,31.9
2013-05-17,37.54,32.42
2013-05-20,37.69,32.13
2013-05-21,37.57,32.06
2013-05-22,37.38,31.62
2013-05-23,37.17,31.79
2013-05-24,37.03,31.72
2013-05-28,38.06,31.93
2013-05-29,38.02,31.2
2013-05-30,37.81,31.22
2013-05-31,37.36,30.8999
2013-06-03,37.52,30.63
2013-06-04,37.16,29.98
2013-06-05,36.31,29.6
2013-06-06,36.75,30.29
2013-06-07,37.62,30.51
2013-06-10,37.58,30.26
2013-06-11,37.08,29.81
2013-06-12,36.52,29.75
2013-06-13,37.9,30.83
2013-06-14,37.57,30.83
2013-06-17,37.63,31.29
2013-06-18,37.49,31.57
2013-06-19,36.69,30.85
2013-06-20,35.36,29.365
2013-06-21,35.29,28.87
2013-06-24,34.8,28.42
2013-06-25,35.36,28.83
2013-06-26,35.72,29.09
2013-06-27,36.03,29.81
2013-06-28,35.79,29.42
2013-07-01,35.91,29.72
2013-07-02,35.74,29.45
2013-07-03,35.54,29.61
2013-07-05,35.61,29.45
2013-07-08,36.0,29.22
2013-07-09,36.25,30.03
2013-07-10,36.04,30.06
2013-07-11,36.5,31.14
2013-07-12,36.91,31.15
2013-07-15,37.24,30.85
2013-07-16,37.15,30.57
2013-07-17,37.34,30.66
2013-07-18,40.43,30.58
2013-07-19,40.95,30.79
2013-07-22,40.92,30.7
2013-07-23,41.06,30.83
2013-07-24,41.07,30.19
2013-07-25,41.23,29.77
2013-07-26,40.96,29.61
2013-07-29,41.09,29.41
2013-07-30,40.46,29.7
