date,PHM,XHB
2012-03-29,9.26,21.57
2012-03-30,8.85,21.35
2012-04-02,8.67,21.19
2012-04-03,8.64,21.19
2012-04-04,8.48,20.99
2012-04-05,8.26,20.99
2012-04-09,8.23,20.82
2012-04-10,7.69,19.94
2012-04-11,8.39,20.51
2012-04-12,8.66,21.03
2012-04-13,8.54,20.73
2012-04-16,8.43,20.8
2012-04-17,8.65,21.08
2012-04-18,8.37,20.79
2012-04-19,8.23,20.525
2012-04-20,8.37,20.5
2012-04-23,8.22,20.24
2012-04-24,8.6,20.53
2012-04-25,8.7,20.94
2012-04-26,9.58,21.35
2012-04-27,10.07,21.9
2012-04-30,9.84,21.515
2012-05-01,10.03,21.78
2012-05-02,10.27,22.21
2012-05-03,10.06,21.84
2012-05-04,9.94,21.47
2012-05-07,10.0,21.46
2012-05-08,9.61,21.19
2012-05-09,9.86,21.35
2012-05-10,9.68,21.27
2012-05-11,9.84,21.54
2012-05-14,9.56,21.11
2012-05-15,9.73,21.23
2012-05-16,9.49,21.06
2012-05-17,8.68,19.97
2012-05-18,8.49,19.73
2012-05-21,8.86,20.13
2012-05-22,9.08,20.47
2012-05-23,9.3,20.68
2012-05-24,9.4,20.95
2012-05-25,9.33,21.04
2012-05-29,9.52,21.52
2012-05-30,9.19,20.77
2012-05-31,9.36,20.71
2012-06-01,8.26,19.54
2012-06-04,7.7,19.06
2012-06-05,8.16,19.53
2012-06-06,8.76,19.91
2012-06-07,8.88,19.98
2012-06-08,8.98,20.38
2012-06-11,8.41,19.7
2012-06-12,8.58,20.025
2012-06-13,8.41,19.59
2012-06-14,8.85,20.09
2012-06-15,9.02,20.23
2012-06-18,9.33,20.63
2012-06-19,9.61,20.85
2012-06-20,9.53,20.66
2012-06-21,9.14,19.705
2012-06-22,9.39,19.85
2012-06-25,9.23,19.55
2012-06-26,9.72,19.97
2012-06-27,9.88,20.32
2012-06-28,9.98,20.52
2012-06-29,10.7,21.345
2012-07-02,10.91,21.53
2012-07-03,10.85,21.61
2012-07-05,11.13,21.85
2012-07-06,11.1,21.69
2012-07-09,11.09,21.58
2012-07-10,10.79,21.15
2012-07-11,10.54,20.94
2012-07-12,10.84,21.24
2012-07-13,11.0,21.62
2012-07-16,10.93,21.395
2012-07-17,11.17,21.42
2012-07-18,10.8,21.56
2012-07-19,10.47,21.71
2012-07-20,10.86,21.63
2012-07-23,11.01,21.57
2012-07-24,10.48,21.115
2012-07-25,10.02,20.89
2012-07-26,11.86,21.52
2012-07-27,12.01,21.875
2012-07-30,11.6,21.5
2012-07-31,11.3,21.04
2012-08-01,11.04,20.84
2012-08-02,11.57,20.97
2012-08-03,11.48,21.44
2012-08-06,11.49,21.59
2012-08-07,11.71,21.99
2012-08-08,12.09,22.17
2012-08-09,12.67,22.43
2012-08-10,12.48,22.14
2012-08-13,12.44,22.2
2012-08-14,12.7,22.3
2012-08-15,12.78,22.37
2012-08-16,13.6,23.09
2012-08-17,13.38,23.43
2012-08-20,13.01,23.0
2012-08-21,12.79,22.91
2012-08-22,13.29,23.27
2012-08-23,13.32,23.16
2012-08-24,13.51,23.42
2012-08-27,13.24,23.29
2012-08-28,13.28,23.33
2012-08-29,13.4,23.48
2012-08-30,13.35,23.3
2012-08-31,13.68,23.59
2012-09-04,13.75,23.86
2012-09-05,14.04,23.78
2012-09-06,14.61,24.35
2012-09-07,14.75,24.39
2012-09-10,14.51,24.28
2012-09-11,14.67,24.39
2012-09-12,15.55,24.87
2012-09-13,16.02,25.295
2012-09-14,16.52,25.87
2012-09-17,16.13,25.47
2012-09-18,15.76,25.215
2012-09-19,16.43,25.66
2012-09-20,16.72,25.71
2012-09-21,16.98,25.93
2012-09-24,16.76,25.621
2012-09-25,16.06,25.175
2012-09-26,15.3,24.6
2012-09-27,15.64,25.04
2012-09-28,15.5,24.83
2012-10-01,15.31,24.7
2012-10-02,15.56,24.83
2012-10-03,16.5,25.38
2012-10-04,16.57,25.56
2012-10-05,16.63,25.84
2012-10-08,16.09,25.64
2012-10-09,15.77,25.01
2012-10-10,15.89,24.93
2012-10-11,15.69,24.74
2012-10-12,15.61,24.62
2012-10-15,16.4,25.18
2012-10-16,16.56,25.39
2012-10-17,17.44,25.88
2012-10-18,17.65,26.17
2012-10-19,17.89,26.11
2012-10-22,17.79,26.01
2012-10-23,17.31,25.89
2012-10-24,17.45,25.91
2012-10-25,17.01,25.62
2012-10-26,17.28,25.52
2012-10-31,17.34,26.04
2012-11-01,17.78,26.83
2012-11-02,17.37,26.36
2012-11-05,17.84,26.74
2012-11-06,17.89,26.7
2012-11-07,17.76,26.43
2012-11-08,17.37,25.96
2012-11-09,16.8,25.67
2012-11-12,16.25,25.29
2012-11-13,16.17,25.3
2012-11-14,15.235,24.61
2012-11-15,15.24,24.35
2012-11-16,15.68,24.89
2012-11-19,15.9,25.39
2012-11-20,16.75,25.97
2012-11-21,16.83,26.03
2012-11-23,17.03,26.37
2012-11-26,17.08,26.23
2012-11-27,17.11,26.22
2012-11-28,17.0,26.27
2012-11-29,17.13,26.28
2012-11-30,16.81,26.32
2012-12-03,16.95,26.21
2012-12-04,17.09,26.29
2012-12-05,16.2,25.65
2012-12-06,16.28,25.57
2012-12-07,16.45,25.58
2012-12-10,16.4,25.5487
2012-12-11,16.48,25.43
2012-12-12,17.11,25.85
2012-12-13,17.16,25.8
2012-12-14,17.14,25.6
2012-12-17,18.04,26.34
2012-12-18,18.61,26.89
2012-12-19,18.46,26.77
2012-12-20,18.49,26.86
2012-12-21,18.19,26.45
2012-12-24,18.15,26.29
2012-12-26,17.79,26.03
2012-12-27,17.76,26.03
2012-12-28,17.6,25.9
2012-12-31,18.16,26.6
2013-01-02,18.6,27.31
2013-01-03,18.57,27.39
2013-01-04,19.06,27.61
2013-01-07,19.31,27.42
2013-01-08,19.5,27.51
2013-01-09,19.49,27.75
2013-01-10,19.41,27.73
2013-01-11,19.34,27.77
2013-01-14,19.1,27.66
2013-01-15,19.47,27.87
2013-01-16,19.34,27.64
2013-01-17,20.37,28.15
2013-01-18,20.49,28.21
2013-01-22,20.55,28.31
2013-01-23,20.84,28.53
2013-01-24,20.98,28.84
2013-01-25,21.67,29.11
2013-01-28,20.96,28.81
2013-01-29,21.11,29.1
2013-01-30,21.05,28.82
2013-01-31,20.74,28.82
2013-02-01,20.35,28.75
2013-02-04,19.68,28.41
2013-02-05,19.74,28.63
2013-02-06,19.69,28.59
2013-02-07,19.4,28.31
2013-02-08,19.47,28.42
2013-02-11,19.3,28.38
2013-02-12,20.32,29.24
2013-02-13,20.23,29.26
2013-02-14,20.27,29.15
2013-02-15,20.31,29.08
2013-02-19,19.95,29.02
2013-02-20,18.6,27.73
2013-02-21,18.75,27.59
2013-02-22,18.9,27.94
2013-02-25,18.02,26.97
2013-02-26,19.05,27.77
2013-02-27,19.3,28.37
2013-02-28,19.18,28.3
2013-03-01,19.25,28.39
2013-03-04,19.72,28.75
2013-03-05,20.22,29.19
2013-03-06,20.08,29.2484
2013-03-07,20.19,29.19
2013-03-08,20.26,29.51
2013-03-11,20.15,29.68
2013-03-12,19.75,29.39
2013-03-13,19.87,29.53
2013-03-14,20.56,29.8
2013-03-15,20.75,29.7
2013-03-18,20.75,29.78
2013-03-19,20.82,29.8
2013-03-20,21.38,30.52
2013-03-21,20.97,29.93
2013-03-22,20.65,30.01
2013-03-25,20.35,29.89
2013-03-26,20.17,29.96
2013-03-27,20.32,30.13
2013-03-28,20.24,30.06
2013-04-01,20.12,29.55
2013-04-02,19.86,29.35
2013-04-03,19.01,28.52
2013-04-04,18.98,28.7
2013-04-05,19.13,28.91
2013-04-08,19.73,29.49
2013-04-09,19.45,29.27
2013-04-10,19.25,29.45
2013-04-11,19.32,29.56
2013-04-12,19.22,29.64
2013-04-15,17.85,28.17
2013-04-16,18.6,28.74
2013-04-17,18.26,28.38
2013-04-18,17.54,28.02
2013-04-19,17.99,28.7
2013-04-22,18.31,28.91
2013-04-23,19.4,29.65
2013-04-24,19.69,29.98
2013-04-25,20.79,30.4
2013-04-26,21.35,30.49
2013-04-29,21.21,30.5
2013-04-30,20.99,30.29
2013-05-01,20.9,29.83
2013-05-02,21.93,30.48
2013-05-03,22.32,30.86
2013-05-06,22.64,31.17
2013-05-07,22.87,31.28
2013-05-08,22.86,31.4
2013-05-09,22.85,31.47
2013-05-10,23.22,31.91
2013-05-13,23.39,31.92
2013-05-14,24.25,32.35
2013-05-15,23.98,32.44
2013-05-16,23.35,31.9
2013-05-17,23.95,32.42
2013-05-20,23.61,32.13
2013-05-21,23.05,32.06
2013-05-22,22.43,31.62
2013-05-23,22.53,31.79
2013-05-24,22.73,31.72
2013-05-28,22.79,31.93
2013-05-29,22.05,31.2
2013-05-30,22.11,31.22
2013-05-31,21.59,30.8999
2013-06-03,21.32,30.63
