date,ODP,XRT
2012-02-06,3.04,57.09
2012-02-07,3.01,57.33
2012-02-08,3.05,57.37
2012-02-09,3.15,57.56
2012-02-10,2.99,57.28
2012-02-13,3.08,57.61
2012-02-14,3.1,58.09
2012-02-15,3.05,57.5
2012-02-16,3.1,58.35
2012-02-17,3.26,58.84
2012-02-21,3.13,57.96
2012-02-22,3.0,57.87
2012-02-23,3.11,58.55
2012-02-24,2.94,58.37
2012-02-27,3.02,58.7
2012-02-28,3.59,59.72
2012-02-29,3.3,58.88
2012-03-01,3.35,59.5601
2012-03-02,3.25,59.51
2012-03-05,3.18,59.66
2012-03-06,3.09,58.91
2012-03-07,3.16,59.39
2012-03-08,3.19,60.11
2012-03-09,3.26,60.82
2012-03-12,3.2,60.67
2012-03-13,3.41,61.45
2012-03-14,3.39,61.32
2012-03-15,3.49,61.72
2012-03-16,3.52,61.0
2012-03-19,3.57,61.08
2012-03-20,3.62,61.47
2012-03-21,3.62,61.61
2012-03-22,3.62,61.49
2012-03-23,3.54,61.59
2012-03-26,3.79,62.835
2012-03-27,3.73,62.55
2012-03-28,3.61,61.89
2012-03-29,3.65,61.76
2012-03-30,3.45,61.25
2012-04-02,3.41,61.78
2012-04-03,3.4,61.87
2012-04-04,3.31,61.27
2012-04-05,3.25,60.96
2012-04-09,3.17,60.415
2012-04-10,3.0,58.77
2012-04-11,3.12,59.78
2012-04-12,3.27,60.55
2012-04-13,3.06,59.87
2012-04-16,3.11,60.15
2012-04-17,3.31,61.35
2012-04-18,3.17,61.25
2012-04-19,3.15,60.71
2012-04-20,3.03,60.94
2012-04-23,2.98,60.24
2012-04-24,3.04,59.33
2012-04-25,3.08,60.54
2012-04-26,3.13,61.4
2012-04-27,3.2,62.44
2012-04-30,3.04,61.74
2012-05-01,2.85,61.43
2012-05-02,2.67,62.43
2012-05-03,2.56,61.72
2012-05-04,2.45,60.64
2012-05-07,2.47,60.37
2012-05-08,2.36,59.68
2012-05-09,2.34,59.88
2012-05-10,2.34,60.21
2012-05-11,2.3,59.92
2012-05-14,2.34,59.2
2012-05-15,2.29,59.34
2012-05-16,2.23,59.05
2012-05-17,2.13,57.0
2012-05-18,2.07,57.17
2012-05-21,2.24,58.34
2012-05-22,2.26,58.39
2012-05-23,2.26,59.07
