date,URBN,XRT,beta,value,price
2011-01-25,34.14,46.75,0.7630003691257798,-1.5302672566302036,28.469732743369796
2011-01-26,34.27,46.79,0.7633857669000677,-1.4488200332541652,28.551179966745835
2011-01-27,34.41,47.38,0.7636992084056337,-1.7740684942589269,28.225931505741073
2011-01-28,33.82,46.27,0.7639399108025016,-1.5274996728317518,28.472500327168248
2011-01-31,33.82,46.43,0.7644347839429909,-1.6727070184730692,28.32729298152693
2011-02-01,34.01,47.06,0.7644879797273343,-1.9668043259683543,28.033195674031646
2011-02-02,33.5975,46.13,0.7646803309408298,-1.6772036663004855,28.322796333699515
2011-02-03,33.86,47.45,0.7648481319555255,-2.432043861289685,27.567956138710315
2011-02-04,34.76,48.11,0.7644700207060253,-2.018652696166882,27.981347303833118
2011-02-07,35.11,48.38,0.7641127270523765,-1.8577737347939802,28.14222626520602
2011-02-08,37.06,48.91,0.7638469261610049,-0.2997531585347488,29.70024684146525
2011-02-09,37.31,48.9775,0.7642563210697565,-0.12136396519399284,29.878636034806007
2011-02-10,37.32,49.17,0.7646057201835252,-0.2756632614239365,29.724336738576064
2011-02-11,37.61,49.68,0.7649310215606091,-0.39177315113106204,29.608226848868938
2011-02-14,37.78,49.43,0.7638803522043054,0.021394190541187186,30.021394190541187
2011-02-15,37.72,49.25,0.762952654638921,0.1445817590331373,30.144581759033137
2011-02-16,37.68,50.04,0.762325593390201,-0.46677269324565884,29.53322730675434
2011-02-17,37.86,50.02,0.7614151956638402,-0.22598808710529283,29.774011912894707
2011-02-18,37.78,50.12,0.7606546705332402,-0.3440120871259964,29.655987912874004
2011-02-22,37.55,49.2,0.7597448695168343,0.17055241977174518,30.170552419771745
2011-02-23,36.79,48.36,0.7589646167164196,0.08647113559394626,30.086471135593946
2011-02-24,37.07,48.5,0.7581306149377486,0.3006651755191925,30.300665175519192
2011-02-25,37.49,49.21,0.7573395001374891,0.2213231982341668,30.221323198234167
2011-02-28,38.38,49.22,0.7566964856747536,1.1353989750886342,31.135398975088634
2011-03-01,38.0,48.3,0.7563968198721653,1.4660336001744199,31.46603360017442
2011-03-02,37.93,48.75,0.7561725712941871,1.0665871494083774,31.066587149408377
2011-03-03,38.32,49.34,0.7558863316548236,1.024568396151004,31.024568396151004
2011-03-04,38.5,49.11,0.7557079144069968,1.3871843234723897,31.38718432347239
