date,VZ,XLK,beta,value,price
2021-08-26,54.6,156.49001,0.3748104713885746,-4.054094415702757,25.945905584297243
2021-08-27,54.77,158.0,0.3738583840676899,-4.299624682695004,25.700375317304996
2021-08-30,54.77,159.7,0.37278599256657957,-4.763923012882749,25.23607698711725
2021-08-31,55.0,158.86,0.3717006521502925,-4.048365600595474,25.951634399404526
2021-09-01,54.94,158.89999,0.37069965032627794,-3.964170729849066,26.035829270150934
2021-09-02,55.29,158.73,0.3697035517909663,-3.3930447757800763,26.606955224219924
2021-09-03,55.43,159.36,0.3687772163210346,-3.338337192920079,26.66166280707992
2021-09-07,54.82,159.39999,0.3678513192975076,-3.815496617509517,26.184503382490483
2021-09-08,54.91,158.78999,0.3668900611399078,-3.3484691395053474,26.651530860494653
2021-09-09,54.44,158.19,0.3660375418249517,-3.4634787412891086,26.53652125871089
2021-09-10,54.23,156.63,0.3651225901825964,-2.9591513003000784,27.04084869969992
2021-09-13,54.62,156.67999,0.3642977397849519,-2.458166226528867,27.541833773471133
2021-09-14,54.41,156.48,0.36358559628356446,-2.48387410645217,27.51612589354783
2021-09-15,54.57,157.85001,0.3628903771006941,-2.712249654248332,27.287750345751668
2021-09-16,54.43,157.94,0.3621442275258513,-2.7670592954329507,27.23294070456705
2021-09-17,54.28,155.48,0.3614290797296327,-1.9149933163632866,28.085006683636713
2021-09-20,54.26,152.38,0.36082819838318986,-0.723000869630468,29.276999130369532
2021-09-21,54.03,152.44,0.3603516024630474,-0.9019982794669446,29.098001720533055
2021-09-22,54.06,154.53,0.3598426829081871,-1.546489789802152,28.453510210197848
2021-09-23,54.42,156.60001,0.3593283922064243,-1.8508298128099696,28.14917018719003
2021-09-24,54.37,156.71001,0.35884406395220064,-1.864456850390006,28.135543149609994
2021-09-27,54.47,155.19,0.35832645735408364,-1.1386829167802404,28.86131708321976
2021-09-28,54.16,150.59,0.3578641454073132,0.269238343112697,30.269238343112697
2021-09-29,54.38,150.39999,0.3575988993858735,0.5971291083536201,30.59712910835362
2021-09-30,54.01,149.32001,0.3573872099818652,0.6449382316357912,30.64493823163579
2021-10-01,54.3,151.57001,0.3571933566992538,0.1601993531605359,30.160199353160536
2021-10-04,54.5,148.06,0.35698420661727975,1.6449183682455555,31.644918368245555
2021-10-05,54.51,150.17,0.3569332559004144,0.9093329614347709,30.90933296143477
2021-10-06,54.53,151.14999,0.3568027539536447,0.5992673079341415,30.59926730793414
2021-10-07,53.9,152.53,0.3566669463096824,-0.502409320615854,29.497590679384146
2021-10-08,53.24,151.96001,0.35642888584413784,-0.9229370571640487,29.07706294283595
2021-10-11,52.18,151.12,0.356072187506561,-1.6296289759915012,28.3703710240085
2021-10-12,51.33,150.34,0.3555919139786401,-2.1296883475487576,27.870311652451242
2021-10-13,51.35,151.25999,0.3550451081995557,-2.354119515813707,27.645880484186293
2021-10-14,51.92,154.67,0.3545692440242811,-2.921224973235546,27.078775026764454
2021-10-15,52.27,155.91,0.3540324421991213,-2.9271980632649957,27.072801936735004
2021-10-18,51.91,157.23,0.35352472552421915,-3.6746925941729742,26.325307405827026
2021-10-19,52.35,158.78999,0.3529879019038261,-3.7009454134295225,26.299054586570477
2021-10-20,53.61,158.35001,0.35244357174200946,-2.1994431097829192,27.80055689021708
2021-10-21,53.39,158.96001,0.3519591804648952,-2.5574348462915495,27.44256515370845
2021-10-22,52.93,158.41,0.3514712640292337,-2.7465629348709086,27.25343706512909
2021-10-25,52.58,158.92999,0.35095409035357716,-3.1971300703531185,26.80286992964688
2021-10-26,53.08,159.38,0.3503962164070663,-2.766148970958227,27.233851029041773
2021-10-27,52.63,159.24001,0.34985905545686286,-3.081559489541398,26.918440510458602
2021-10-28,52.8,160.84,0.34931750509941367,-3.3842275201896967,26.615772479810303
2021-10-29,52.99,161.53,0.34878028240193487,-3.3484790163845375,26.651520983615463
2021-11-01,52.95,161.28999,0.3482755529734724,-3.2233604563358256,26.776639543664174
2021-11-02,52.57,162.71001,0.3477814296259105,-4.017519892246199,25.9824801077538
2021-11-03,52.94,163.66,0.34718094396528126,-3.8796332893579333,26.120366710642067
2021-11-04,51.85,166.22,0.34650783940849905,-5.746533066480708,24.25346693351929
2021-11-05,52.24,167.08,0.3455985699592093,-5.502609068784693,24.497390931215307
2021-11-08,52.33,167.98,0.3447247092077577,-5.576856652719137,24.423143347280863
2021-11-09,52.24,167.28999,0.3438322617582799,-5.279695631220022,24.720304368779978
2021-11-10,52.6,164.53,0.34297636888325655,-3.829901972362201,26.1700980276378
2021-11-11,52.45,165.3,0.34221453320695594,-4.1180623391098194,25.88193766089018
2021-11-12,52.34,167.31,0.3414113759495914,-4.78153731012614,25.21846268987386
2021-11-15,52.4,167.14,0.34057732253724193,-4.524093688874615,25.475906311125385
2021-11-16,52.06,168.89999,0.3398122070410509,-5.334278371111431,24.66572162888857
2021-11-17,51.73,168.39,0.33901884187690684,-5.357382783652341,24.64261721634766
2021-11-18,51.24,170.07001,0.3382502927122479,-6.286230664074921,23.71376933592508
2021-11-19,50.86,171.31,0.3373654439517717,-6.93407420337801,23.06592579662199
2021-11-22,51.54,169.39999,0.3363909540953217,-5.444624259837958,24.55537574016204
2021-11-23,51.75,169.00999,0.33561199135605135,-4.971779302966318,25.02822069703368
2021-11-24,51.66,170.24001,0.3349340546220052,-5.359176808190718,24.640823191809282
2021-11-26,51.8,165.99001,0.33414622931894516,-3.6649359461140065,26.335064053885993
2021-11-29,51.66,170.14,0.3335539097287476,-5.0908622012491165,24.909137798750884
2021-11-30,50.27,168.72,0.3327421419415437,-5.8702541883772525,24.129745811622747
2021-12-01,49.77,166.41,0.3318435678466006,-5.452088125352795,24.547911874647205
2021-12-02,50.73,167.94,0.3310505711106593,-4.866632912324121,25.13336708767588
2021-12-03,51.42,165.13,0.330275238870969,-3.118350194763103,26.881649805236897
2021-12-06,51.07,166.7,0.3297141089309649,-3.8933419587918507,26.10665804120815
2021-12-07,50.79,172.52,0.3290292849216615,-5.974132234685044,24.025867765314956
2021-12-08,50.49,173.31,0.3280508367416009,-6.364490515686853,23.635509484313147
2021-12-09,50.16,171.44,0.32702870061171235,-5.90580043287197,24.09419956712803
2021-12-10,50.19,174.88,0.3260780401549527,-6.834527662298122,23.16547233770188
2021-12-13,50.28,172.28,0.32501548015851367,-5.713666921708736,24.286333078291264
2021-12-14,50.65,169.45,0.3240147721301691,-4.25430313745715,25.74569686254285
2021-12-15,50.55,173.94,0.3230820684109033,-5.646894979392528,24.353105020607472
2021-12-16,52.75,169.00999,0.3219981064152081,-1.670896745253252,28.329103254746748
2021-12-17,53.17,167.88,0.32139977746994225,-0.7865946416538989,29.2134053583461
2021-12-20,53.09,165.57001,0.3209129820949035,-0.04356565458298434,29.956434345417016
2021-12-21,52.78,169.75999,0.32050621426687453,-1.62913172888247,28.37086827111753
