date,F,XLY,beta,value,price
2022-04-22,15.13,175.82001,0.09541099720509479,-1.6451624827097344,28.354837517290264
2022-04-25,15.19,177.09,0.09499649929262644,-1.6329300597312173,28.367069940268784
2022-04-26,14.71,168.13,0.09457737069056346,-1.191293334204433,28.80870666579557
2022-04-27,14.85,168.14999,0.09422497343466885,-0.9939283407898323,29.006071659210168
2022-04-28,14.62,171.60001,0.09386208766414644,-1.486735181788406,28.513264818211596
2022-04-29,14.16,162.88,0.09341949992898489,-1.0561681484330592,28.94383185156694
2022-05-02,14.27,165.25999,0.09300535332934243,-1.1000637611535957,28.899936238846404
2022-05-03,14.56,164.85001,0.09260785861893878,-0.7064064194106425,29.29359358058936
2022-05-04,14.98,169.69,0.09246088707579156,-0.7096879278910695,29.290312072108932
2022-05-05,14.53,160.17999,0.09231235563492217,-0.2565922024782772,29.743407797521723
2022-05-06,14.21,158.14999,0.09224172887814615,-0.3780284996615233,29.621971500338475
2022-05-09,13.37,151.41,0.09211820867110333,-0.5776179748917567,29.42238202510824
2022-05-10,13.35,150.96001,0.09197531202840471,-0.5345940235610964,29.465405976438902
2022-05-11,12.83,145.55,0.09183927438537225,-0.5372063867909311,29.46279361320907
2022-05-12,12.44,146.55,0.0917189689867876,-1.001414905013723,28.998585094986275
2022-05-13,13.5,152.32001,0.09153123898800862,-0.4420392379658633,29.557960762034135
2022-05-16,13.05,149.03,0.09139427825724832,-0.5704892886777166,29.429510711322283
2022-05-17,13.53,152.78999,0.09124835092643857,-0.41183462556703887,29.58816537443296
2022-05-18,12.78,142.8,0.09105166475773259,-0.22217772740421537,29.777822272595785
2022-05-19,12.85,142.89999,0.09089917428856034,-0.13949109684353012,29.86050890315647
2022-05-20,12.5,140.41,0.0907364985541035,-0.2403117619816726,29.759688238018327
2022-05-23,12.83,141.46001,0.09057359184235766,0.01745879224416491,30.017458792244163
2022-05-24,12.42,137.82001,0.09038747802635333,-0.03720312546679594,29.962796874533204
2022-05-25,12.71,141.71001,0.09022984318509294,-0.07647198005795275,29.923528019942047
2022-05-26,13.12,148.66,0.0901296539446871,-0.2786743554171842,29.721325644582816
2022-05-27,13.63,153.75999,0.08989686759231404,-0.19254146202552924,29.80745853797447
2022-05-31,13.68,154.53999,0.08968445189879742,-0.17983429959563502,29.820165700404367
2022-06-01,13.55,152.92999,0.08952202994246526,-0.140603143880913,29.859396856119087
2022-06-02,13.89,157.61,0.08937962432908074,-0.19712259050641556,29.802877409493583
2022-06-03,13.5,153.0,0.08922613252908095,-0.15159827694938421,29.848401723050614
2022-06-06,13.46,154.53,0.08908276694481403,-0.3059599759821108,29.694040024017887
2022-06-07,13.74,154.14999,0.0889361526509801,0.030492958212944288,30.030492958212946
2022-06-08,13.53,153.24001,0.08881962286713041,-0.0807198963552942,29.919280103644706
2022-06-09,13.28,150.47,0.0886980209893239,-0.06639121826356842,29.93360878173643
2022-06-10,12.75,144.47,0.08858833508810096,-0.04835677017794637,29.951643229822054
2022-06-13,11.81,137.8,0.08847346243940123,-0.3816431241494893,29.61835687585051
2022-06-14,12.2,137.69,0.08835394282824945,0.0345456119783325,30.03454561197833
2022-06-15,12.27,141.56,0.08826963838940288,-0.22545001040387191,29.774549989596128
2022-06-16,11.25,134.63,0.08818580074710218,-0.6224543545823664,29.377545645417634
2022-06-17,11.23,136.10001,0.08804119311627641,-0.7524072635371493,29.24759273646285
2022-06-21,11.46,139.67,0.08790546630634562,-0.81775647900729,29.18224352099271
2022-06-22,11.48,139.39999,0.0877547733841177,-0.7530145321982733,29.24698546780173
2022-06-23,11.56,141.59,0.08764410321059775,-0.8495285735885343,29.150471426411464
2022-06-24,12.01,146.99001,0.08754645733517828,-0.8584546391624297,29.14154536083757
2022-06-27,12.04,145.45,0.08734320878281476,-0.6640697174604071,29.335930282539593
2022-06-28,11.81,139.64,0.0871822419429449,-0.36412826491282324,29.63587173508718
2022-06-29,11.52,139.53,0.08705346942036331,-0.6265705882232933,29.373429411776705
2022-06-30,11.13,137.48,0.08693054497801525,-0.8212113235775345,29.178788676422464
2022-07-01,11.32,140.00999,0.08682952481354769,-0.8370009008495636,29.162999099150436
2022-07-05,11.2,143.14,0.08677991946106128,-1.2216776716563125,28.778322328343688
2022-07-06,11.06,142.67,0.08669098039005982,-1.3082021722498336,28.691797827750165
2022-07-07,11.65,146.35001,0.08665513121066105,-1.0319793192315565,28.968020680768443
2022-07-08,11.62,146.37,0.0866127967386726,-1.0575150586395097,28.94248494136049
2022-07-11,11.29,142.36,0.08650139036379528,-1.0243379321898978,28.975662067810102
2022-07-12,11.56,141.5,0.08638723395891768,-0.66379360518685,29.33620639481315
2022-07-13,11.51,142.66,0.08633574547090589,-0.8066574488794345,29.193342551120566
2022-07-14,11.39,142.53999,0.08624304483378907,-0.9030827481778445,29.096917251822155
2022-07-15,11.88,144.84,0.08611887830848869,-0.5934583342015021,29.4065416657985
2022-07-18,11.96,145.25999,0.08601648970029041,-0.5347544336992858,29.465245566300716
