date,WFC,XLF,beta,value,price
2011-07-14,27.28,14.88,1.7957442979524745,0.559324846467181,30.55932484646718
2011-07-15,27.18,14.85,1.7952937540802538,0.5198877519082323,30.519887751908232
2011-07-18,26.88,14.65,1.7942793292685975,0.5938078262150448,30.593807826215045
2011-07-19,28.41,14.831,1.7947691411870055,1.7917788670555232,31.791778867055523
2011-07-20,28.7,15.0,1.7970224537649577,1.744663193525632,31.744663193525632
2011-07-21,29.38,15.36,1.7992302075323,1.7438240123038753,31.743824012303875
2011-07-22,29.14,15.32,1.8013802175015352,1.5428550678764807,31.54285506787648
2011-07-25,28.95,15.21,1.8031039728627434,1.5247885727576715,31.52478857275767
2011-07-26,28.97,15.19,1.8051047142755237,1.5504593901547956,31.550459390154796
2011-07-27,28.58,14.83,1.807295758622615,1.7778038996266154,31.777803899626615
2011-07-28,28.3,14.84,1.8095631317241079,1.4460831252142405,31.44608312521424
2011-07-29,27.94,14.795,1.8112397452972606,1.1427079683270307,31.14270796832703
