date,IVZ,KCE,beta,value,price
2013-11-11,33.57,46.36,0.7383320169236117,-0.6590723045786362,29.340927695421364
2013-11-12,33.21,46.03,0.7378007620018626,-0.7509690749457363,29.249030925054264
2013-11-13,33.28,46.52,0.7373690742056943,-1.0224093320489018,28.977590667951098
2013-11-14,34.07,46.73,0.7368708131341757,-0.36397309776002373,29.636026902239976
2013-11-15,33.84,46.85,0.7366766351019572,-0.6733003545266953,29.326699645473305
2013-11-18,33.71,46.9247,0.7363256318649744,-0.8418593775743588,29.15814062242564
2013-11-19,33.6,46.57,0.7359179654124581,-0.6716996492581728,29.328300350741827
2013-11-20,33.48,46.7,0.735679126733294,-0.876215218444834,29.123784781555166
2013-11-21,33.78,47.43,0.7353481039086134,-1.097560568385532,28.902439431614468
2013-11-22,33.9,47.76,0.7348691312167975,-1.1973497069142525,28.802650293085748
2013-11-25,34.26,47.85,0.7343274033389522,-0.8775662497688685,29.12243375023113
2013-11-26,34.52,47.93,0.7339457411022993,-0.6580193710331983,29.3419806289668
2013-11-27,35.03,48.04,0.7336421889379812,-0.21417075658061435,29.785829243419386
2013-11-29,34.85,48.1399,0.7335478768635488,-0.4629214374235531,29.537078562576447
2013-12-02,35.14,47.86,0.7334569404914708,0.036750828078204734,30.036750828078205
2013-12-03,34.99,47.5,0.7337237681662432,0.13812101210345418,30.138121012103454
2013-12-04,34.92,47.56,0.734015751950548,0.01021083723193783,30.010210837231938
2013-12-05,34.39,47.25,0.7342718927474603,-0.3043469323175003,29.6956530676825
2013-12-06,35.46,47.99,0.7344107295929759,0.2156290868330828,30.215629086833083
2013-12-09,35.67,48.18,0.734743294540041,0.2700680690608266,30.270068069060827
2013-12-10,35.38,47.99,0.7351448450566135,0.10039888573312084,30.10039888573312
2013-12-11,34.64,47.34,0.7353970713903484,-0.17369735961909072,29.82630264038091
2013-12-12,34.39,47.33,0.735630054119192,-0.4273704614613578,29.572629538538642
2013-12-13,34.58,47.51,0.7354692462061857,-0.36214388725588265,29.637856112744117
2013-12-16,35.07,48.3,0.7352680478973818,-0.44344671344353515,29.556553286556465
2013-12-17,34.47,48.13,0.7348790601456751,-0.8997291648113404,29.10027083518866
2013-12-18,35.36,49.47,0.7342644482803181,-0.96406225642734,29.03593774357266
2013-12-19,35.25,49.15,0.7336802512274996,-0.8103843478316008,29.1896156521684
2013-12-20,35.83,49.48,0.733210468777148,-0.44925399509328656,29.550746004906713
2013-12-23,36.25,49.89,0.7328051355657941,-0.3096482133774643,29.690351786622536
2013-12-24,36.43,49.97,0.7324822170733777,-0.17213638715668367,29.827863612843316
2013-12-26,36.55,50.1,0.7322062765079709,-0.13353445304934297,29.866465546950657
2013-12-27,36.49,49.91,0.731932881033236,-0.04077009236880258,29.959229907631197
2013-12-30,36.35,49.78,0.7315492724716554,-0.06652278363900166,29.933477216361
2013-12-31,36.4,50.1,0.7311776552994529,-0.23200053050258873,29.76799946949741
2014-01-02,35.87,49.54,0.730727101433445,-0.3302206050128689,29.66977939498713
2014-01-03,36.12,50.02,0.730246213977911,-0.40691562317511654,29.593084376824883
2014-01-06,36.37,49.94,0.7296779051485168,-0.07011458311693275,29.929885416883067
2014-01-07,36.69,50.33,0.7290910936384851,-0.005154742824956315,29.994845257175044
2014-01-08,36.53,50.23,0.7282146262956897,-0.04822067883248593,29.951779321167514
2014-01-09,36.04,50.2699,0.7272634415157312,-0.5194604786516592,29.48053952134834
2014-01-10,35.85,50.18,0.7260732321800601,-0.5843547907954161,29.415645209204584
2014-01-13,35.05,49.35,0.7255149931090599,-0.7541649099321077,29.245835090067892
2014-01-14,35.22,49.86,0.7251393632668023,-0.9354486524827621,29.064551347517238
2014-01-15,35.46,50.61,0.7247085232035146,-1.2174983593298734,28.782501640670127
2014-01-16,35.2,50.61,0.7241797930595798,-1.4507393267453281,28.549260673254672
2014-01-17,35.01,50.5,0.7236213830762409,-1.5328798453501662,28.467120154649834
2014-01-21,35.04,50.82,0.7230448830103419,-1.7051409545855734,28.294859045414427
2014-01-22,35.85,51.22,0.7223875571170887,-1.1506906755372768,28.849309324462723
2014-01-23,34.99,50.21,0.7219735050751142,-1.2602896898214837,28.739710310178516
2014-01-24,33.48,48.45,0.7215342751253596,-1.4783356298236754,28.521664370176325
2014-01-27,33.08,47.43,0.721066409694426,-1.1201798118066293,28.87982018819337
2014-01-28,33.43,48.19,0.7206095006538715,-1.2961718365100694,28.70382816348993
2014-01-29,33.05,47.25,0.7201659766012389,-0.9778423944085404,29.02215760559146
2014-01-30,33.5,47.87,0.7194973962087087,-0.9423403565108828,29.057659643489117
2014-01-31,33.25,47.28,0.7187876242935207,-0.7342788765976636,29.265721123402336
2014-02-03,31.89,45.43,0.7183447598903321,-0.7444024418177833,29.255597558182217
2014-02-04,32.46,46.27,0.718035983019991,-0.7635249343349884,29.23647506566501
2014-02-05,31.77,45.77,0.717751479081039,-1.0814851975391555,28.918514802460844
2014-02-06,32.75,46.32,0.7173678269984484,-0.4784777465681316,29.52152225343187
2014-02-07,32.88,46.99,0.7171380229403254,-0.8183156979658861,29.181684302034114
2014-02-10,34.1,47.2878,0.7167584225288918,0.20607106713827505,30.206071067138275
2014-02-11,34.35,47.67,0.7167564928553751,0.18221798558426627,30.182217985584266
2014-02-12,34.35,47.95,0.7168390351472942,-0.02243173531275744,29.977568264687243
2014-02-13,34.53,48.34,0.7166420012056699,-0.11247433828208386,29.887525661717916
2014-02-14,34.36,48.05,0.7165155397791456,-0.06857168638794775,29.931428313612052
2014-02-18,34.14,48.57,0.7164631240977208,-0.6586139374263027,29.341386062573697
2014-02-19,33.82,47.81,0.7161601184349459,-0.4196152623747622,29.580384737625238
2014-02-20,33.69,48.13,0.716006885972588,-0.7714114218606625,29.228588578139338
2014-02-21,33.54,48.09,0.7158052660031367,-0.8830752420908468,29.116924757909153
2014-02-24,33.83,48.67,0.7156023802775852,-0.9983678481100711,29.00163215188993
2014-02-25,33.34,48.07,0.7152536568713317,-1.0422432858049078,28.957756714195092
2014-02-26,33.11,47.87,0.71482017271685,-1.10844166795561,28.89155833204439
