date,PNC,KBE,beta,value,price
2021-05-25,191.7,53.37,3.428619141193739,8.714596434490147,38.71459643449015
2021-05-26,191.89999,54.19,3.432406657698088,5.8978732193406245,35.897873219340624
2021-05-27,194.12,55.02,3.435586770029123,5.094015912997662,35.09401591299766
2021-05-28,194.67999,54.98,3.4385213243547796,5.630087586974241,35.63008758697424
2021-06-01,195.82001,55.46,3.4411482994631175,4.973925311775503,34.9739253117755
2021-06-02,195.42,54.96,3.4437302351819845,6.152586274398118,36.15258627439812
2021-06-03,195.88,55.07,3.4472914077811367,6.037662173492805,36.037662173492805
2021-06-04,194.0,55.05,3.45157337312469,3.9908858094858317,33.99088580948583
2021-06-07,193.11,55.18,3.4553381273685506,2.4444421318033847,32.444442131803385
2021-06-08,194.10001,55.23,3.459278541333221,3.044056162166214,33.044056162166214
2021-06-09,190.78999,54.46,3.4631646768926045,2.186041696428731,32.18604169642873
2021-06-10,188.75,53.38,3.4672768547687496,3.6667614924441523,33.66676149244415
2021-06-11,189.2,53.65,3.4716797753076984,2.94438005474197,32.94438005474197
2021-06-14,187.11,52.86,3.4757827055827097,3.380126182897982,33.38012618289798
2021-06-15,189.27,53.56,3.479801388343362,2.891837640329527,32.89183764032953
2021-06-16,190.11,54.06,3.484422641018792,1.7421120265240972,31.742112026524097
2021-06-17,182.45,51.62,3.488006744302392,2.399091859110513,32.39909185911051
2021-06-18,178.33,49.93,3.4906177176316793,4.043457358650272,34.04345735865027
2021-06-21,184.14999,51.42,3.493219927971746,4.52862130369283,34.52862130369283
2021-06-22,183.91,51.34,3.495544347301177,4.448753209557566,34.448753209557566
2021-06-23,185.13,51.46,3.498128300990843,5.1163176310112135,35.11631763101121
2021-06-24,189.17999,52.19,3.5010527622920224,6.460046335979371,36.46004633597937
2021-06-25,193.36,52.86,3.504725970839025,8.100185181449177,38.10018518144918
2021-06-28,191.60001,51.62,3.509162550699914,10.457039132870449,40.45703913287045
2021-06-29,190.47,51.26,3.514144122994829,10.334972255285066,40.33497225528507
2021-06-30,190.75999,51.32,3.5188595199276365,10.172119437313683,40.17211943731368
2021-07-01,191.74001,51.84,3.523812305032052,9.06558010713843,39.06558010713843
