date,AEP,XLU,beta,value,price
2011-01-07,36.0,31.5825,1.153586369458692,-0.43314151342914187,29.566858486570858
2011-01-10,35.76,31.41,1.1538455250423711,-0.4822879415808785,29.51771205841912
2011-01-11,35.92,31.455,1.1540741556009777,-0.38140256442874687,29.618597435571253
2011-01-12,35.95,31.62,1.1543397422674055,-0.550222650495364,29.449777349504636
2011-01-13,35.67,31.5925,1.1543117434111168,-0.7975937537157023,29.202406246284298
2011-01-14,35.45,31.74,1.1540867152733925,-1.1807123427774755,28.819287657222525
2011-01-18,36.21,31.815,1.1536517157538222,-0.49342933670785527,29.506570663292145
2011-01-19,35.95,31.74,1.153445418112335,-0.660357570885509,29.33964242911449
2011-01-20,36.47,31.98,1.1531233717141003,-0.4068854274169311,29.59311457258307
2011-01-21,36.44,31.95,1.1530158783568467,-0.398857313501253,29.601142686498747
2011-01-24,36.75,32.13,1.1527540969543113,-0.28798913514202695,29.712010864857973
2011-01-25,36.66,32.0825,1.1523657804578429,-0.31077515153874913,29.68922484846125
2011-01-26,36.41,31.96,1.151815105140268,-0.40201076028296967,29.59798923971703
2011-01-27,36.69,32.08,1.1511136773217696,-0.23772676848236785,29.762273231517632
2011-01-28,35.86,31.65,1.1503894758652378,-0.5498269111347724,29.450173088865228
2011-01-31,35.68,31.72,1.1495215421608738,-0.7828233173429169,29.217176682657083
2011-02-01,35.95,32.04,1.148520447404935,-0.848595134854115,29.151404865145885
2011-02-02,35.69,31.865,1.1476457676354872,-0.8797323857047985,29.1202676142952
2011-02-03,35.82,31.995,1.1466759061280674,-0.867895616567516,29.132104383432484
2011-02-04,35.62,31.8,1.1459998777155884,-0.8227961113557143,29.177203888644286
2011-02-07,36.04,32.005,1.145288614684678,-0.6149621129831218,29.38503788701688
2011-02-08,35.83,32.0025,1.144750661165683,-0.8048830339547735,29.195116966045227
2011-02-09,35.74,32.0,1.1441213079169388,-0.8718818533420389,29.12811814665796
2011-02-10,35.61,32.06,1.1433008595733953,-1.0442255579230562,28.955774442076944
2011-02-11,35.86,32.0,1.142483461511021,-0.6994707683526755,29.300529231647324
2011-02-14,35.52,31.77,1.1418811925441985,-0.7575654871291846,29.242434512870815
