date,TOL,XHB,beta,value,price
2018-10-11,31.35,34.98,0.8985806105034695,-0.08234975541135725,29.917650244588643
2018-10-12,31.24,34.86,0.8981333970087019,-0.06893021972334878,29.93106978027665
2018-10-15,31.0,34.85,0.897744372878801,-0.286391394826218,29.713608605173782
2018-10-16,32.02,35.63,0.8974000701347293,0.045635501099596354,30.045635501099596
2018-10-17,31.19,34.95,0.8971795973792513,-0.1664269284048352,29.833573071595165
2018-10-18,31.3,34.2,0.8968998786564797,0.6260241499483925,30.626024149948393
2018-10-19,30.02,33.63,0.8971805530257657,-0.15218199825650203,29.847818001743498
2018-10-22,29.06,33.27,0.8969691406365328,-0.7821633089774487,29.21783669102255
2018-10-23,30.25,33.81,0.8966789598134047,-0.06671563129121694,29.933284368708783
2018-10-24,28.93,32.64,0.8966217597686792,-0.3357342388496889,29.66426576115031
2018-10-25,30.38,33.59,0.8966162595218373,0.26265984266148124,30.26265984266148
2018-10-26,31.31,32.59,0.8967146901600005,2.086068247685578,32.086068247685574
2018-10-29,30.53,32.18,0.8976697797541743,1.6429864875106723,31.642986487510672
2018-10-30,33.2,33.8,0.8984351125217787,2.8328931967638873,32.83289319676389
2018-10-31,33.66,33.99,0.8996619673666835,3.0804897292064233,33.08048972920642
2018-11-01,33.5,35.11,0.9008800639500563,1.870100954713525,31.870100954713525
2018-11-02,32.74,34.96,0.9015221732963027,1.222784821561259,31.22278482156126
2018-11-05,33.52,35.33,0.9018488576969292,1.6576798575674943,31.657679857567494
2018-11-06,33.16,35.23,0.9024365867492142,1.367159048825183,31.367159048825183
2018-11-07,33.39,35.45,0.9033071517457749,1.3677614706122796,31.36776147061228
2018-11-08,32.36,35.05,0.9043529477070212,0.6624291828689088,30.66242918286891
2018-11-09,32.38,34.65,0.9051709609867997,1.0158262018073927,31.015826201807393
2018-11-12,31.98,34.21,0.906234351612476,0.9777228313371964,30.977722831337196
2018-11-13,32.33,34.63,0.907267203130532,0.911336755589673,30.911336755589673
2018-11-14,31.83,34.27,0.9082038614635837,0.7058536676429839,30.705853667642984
2018-11-15,29.94,33.97,0.9072189752778728,-0.8782285901893339,29.121771409810666
2018-11-16,30.39,34.21,0.9060662747218049,-0.6065272582329442,29.393472741767056
2018-11-19,31.07,34.09,0.9055126133077062,0.20107501234029357,30.201075012340294
2018-11-20,31.68,33.96,0.9053819740855643,0.9332281600542345,30.933228160054234
2018-11-21,32.57,34.42,0.9054046324110273,1.4059725524124396,31.40597255241244
2018-11-23,32.6,34.53,0.9057521106513415,1.3243796192091786,31.32437961920918
2018-11-26,33.06,34.88,0.9061416636487615,1.4537787719312014,31.4537787719312
2018-11-27,33.09,34.83,0.9067636062695118,1.5074235936329075,31.507423593632907
2018-11-28,33.58,35.69,0.9074468504070569,1.1932219089721414,31.19322190897214
2018-11-29,33.61,35.42,0.9078760898343187,1.4530288980684318,31.453028898068432
2018-11-30,32.97,35.51,0.9081926794793829,0.7200779516871165,30.720077951687117
2018-12-03,33.53,36.07,0.9084262039198617,0.7630668246105898,30.76306682461059
2018-12-04,32.99,34.39,0.9089003404450315,1.7329172920953653,31.732917292095365
2018-12-06,33.2,34.69,0.9098386912681489,1.6376957999079202,31.63769579990792
2018-12-07,33.14,34.26,0.91068767589627,1.9398402237937944,31.939840223793794
2018-12-10,32.11,33.68,0.9115716141958872,1.4082680338825213,31.40826803388252
2018-12-11,31.89,33.43,0.9123555318849708,1.389954569085429,31.38995456908543
2018-12-12,32.92,33.85,0.9129898998643681,2.01529188959114,32.01529188959114
2018-12-13,32.64,33.52,0.9141140344977904,1.9988975636340633,31.998897563634063
