date,LAZ,KCE,beta,value,price
2017-08-28,42.53,49.2306,0.9182391875031792,-2.6754661442940133,27.324533855705987
2017-08-29,42.2,48.98,0.9168727410777204,-2.708426857986744,27.291573142013256
2017-08-30,42.59,49.3298,0.915457626065287,-2.5693416022753937,27.430658397724606
2017-08-31,42.89,49.61,0.9140212036193218,-2.4545919115545516,27.54540808844545
2017-09-01,43.06,49.87,0.9126919554297644,-2.4559478172823503,27.54405218271765
2017-09-05,41.87,48.758,0.9114630139292853,-2.571113633164096,27.428886366835904
2017-09-06,41.45,48.604,0.9103814560458875,-2.7981802896543115,27.20181971034569
2017-09-07,40.91,48.13,0.9091978738803864,-2.849693669863001,27.150306330137
2017-09-08,40.66,48.39,0.9080855452937113,-3.2822595367626946,26.717740463237305
2017-09-11,41.49,49.1124,0.9069330054065495,-3.0516565347286218,26.94834346527138
2017-09-12,41.57,49.592,0.9058025556388919,-3.350560339243927,26.649439660756073
2017-09-13,41.63,49.5201,0.9042381988385295,-3.147966030303863,26.852033969696137
2017-09-14,41.58,49.6899,0.9026843410909191,-3.274294640373661,26.72570535962634
2017-09-15,41.7,49.43,0.9011653832421153,-2.8446048936577526,27.155395106342247
2017-09-18,42.45,49.86,0.8994600851529428,-2.3970798457257274,27.602920154274273
2017-09-19,43.11,50.08,0.8980081591413637,-1.8622486097994937,28.137751390200506
2017-09-20,43.28,50.3461,0.8965767842740527,-1.8591444387398823,28.140855561260118
2017-09-21,43.0,50.4687,0.8951703063915167,-2.1780816421815388,27.82191835781846
2017-09-22,43.2,50.73,0.8935821783577885,-2.1314239080906034,27.868576091909397
2017-09-25,43.3,50.7305,0.8919572085724038,-1.949435169482335,28.050564830517665
2017-09-26,43.1,51.0695,0.8903834903132689,-2.3714396585534843,27.628560341446516
2017-09-27,43.91,51.96,0.8887414181992737,-2.269004089634265,27.730995910365735
2017-09-28,44.93,52.125,0.8868930984122849,-1.2993027547403528,28.700697245259647
2017-09-29,45.22,52.39,0.8855350513906209,-1.1731813423546313,28.82681865764537
2017-10-02,45.02,52.789,0.8841519743457714,-1.653498573738922,28.346501426261078
2017-10-03,45.72,53.2192,0.8826837129869675,-1.2557210581960234,28.744278941803977
2017-10-04,45.81,53.2654,0.8812436782307165,-1.129797018430402,28.870202981569598
2017-10-05,45.96,53.62,0.8800493901582199,-1.2282483002837523,28.771751699716248
2017-10-06,45.43,53.385,0.8790055765265226,-1.4957127028684027,28.504287297131597
2017-10-09,44.81,53.33,0.8779023877338219,-2.008534337844715,27.991465662155285
2017-10-10,45.06,53.5,0.8765002595268157,-1.8327638846846384,28.16723611531536
2017-10-11,44.81,53.5197,0.8748319325932125,-2.010742582808952,27.989257417191048
2017-10-12,44.96,53.65,0.873158835813608,-1.8849715414000627,28.115028458599937
