date,STT,KCE,beta,value,price
2017-06-01,82.82,47.134,1.7248737814228805,1.5197991864139482,31.519799186413948
2017-06-02,82.68,47.2305,1.7262436467234077,1.1486494434301022,31.148649443430102
2017-06-05,83.07,47.3643,1.7273870186705629,1.2535230315818495,31.25352303158185
2017-06-06,83.3,47.17,1.7286127111931613,1.7613384130185779,31.761338413018578
2017-06-07,84.39,47.399,1.7300682968348051,2.386492798327069,32.38649279832707
2017-06-08,86.0,47.8,1.7320121079636563,3.2098212393372307,33.20982123933723
2017-06-09,87.35,48.43,1.734283536367677,3.358648333713404,33.358648333713404
2017-06-12,87.11,48.699,1.7368175159567447,2.5287237904224895,32.52872379042249
2017-06-13,88.59,49.0666,1.7390422881955676,3.261107662023363,33.26110766202336
2017-06-14,88.79,49.085,1.7416611815126208,3.300560905453011,33.30056090545301
2017-06-15,88.8,49.03,1.7444458406886998,3.2698204310330397,33.26982043103304
2017-06-16,88.25,48.581,1.7470682879898107,3.375675501166995,33.375675501166995
2017-06-19,89.52,49.2172,1.7494672549985453,3.416120217285595,33.416120217285595
2017-06-20,89.15,48.9636,1.7518300293309685,3.3740951758502007,33.3740951758502
2017-06-21,89.38,48.4204,1.7541428176216816,4.4437031136311305,34.44370311363113
2017-06-22,88.68,48.43,1.7563234753590957,3.621254088358995,33.621254088358995
2017-06-23,87.24,48.2005,1.7582789849888785,2.4900737840435596,32.49007378404356
2017-06-26,87.82,48.4807,1.7597688777336622,2.505172969257643,32.50517296925764
2017-06-27,87.9,48.84,1.7614470343095296,1.8709268443225682,31.870926844322568
2017-06-28,89.66,49.3458,1.763091653183191,2.6588319003528937,32.658831900352894
2017-06-29,89.64,49.1338,1.7650893752828423,2.9144516527278768,32.91445165272788
2017-06-30,89.73,49.2001,1.7670795630633922,2.789508789324799,32.7895087893248
2017-07-03,91.08,49.65,1.7691873643308476,3.239847360973414,33.239847360973414
2017-07-05,91.53,49.7,1.7712908722207563,3.4968436506284064,33.496843650628406
2017-07-06,90.61,49.212,1.7735172467185332,3.3316692544875366,33.33166925448754
2017-07-07,90.87,49.65,1.775707837604079,2.706105862957486,32.706105862957486
2017-07-10,91.52,49.95,1.7776906197508038,2.724353543447336,32.724353543447336
2017-07-11,90.2,49.64,1.7797986475192835,1.850795137142768,31.850795137142768
2017-07-12,90.99,49.87,1.7815727304404754,2.1429679329334874,32.14296793293349
2017-07-13,91.79,50.35,1.7832248893964928,2.0046268188865923,32.00462681888659
2017-07-14,92.07,50.274,1.7852895583417074,2.316352743928988,32.31635274392899
2017-07-17,92.56,50.13,1.7875409776509017,2.9505707903603025,32.9505707903603
2017-07-18,92.08,50.14,1.7902558740624475,2.316570474508879,32.31657047450888
2017-07-19,90.61,50.48,1.7928754054663683,0.10564953205773975,30.10564953205774
2017-07-20,90.87,50.6577,1.7944568181875329,-0.03305515869857345,29.966944841301427
2017-07-21,90.99,50.5783,1.795771522574776,0.16292919975620634,30.162929199756206
2017-07-24,91.53,50.7872,1.7962520197951655,0.30338942025898064,30.30338942025898
2017-07-25,92.54,51.6,1.7963041663589274,-0.14929498412065811,29.850705015879342
2017-07-26,94.28,51.46,1.7963666168016492,1.8389738993871276,31.838973899387128
2017-07-27,93.55,50.5874,1.7970984948003974,2.639459604134373,32.63945960413437
2017-07-28,93.17,50.6265,1.7982828850377723,2.1292315206352157,32.129231520635216
2017-07-31,93.23,51.01,1.7992714276261264,1.449164476791296,31.449164476791296
2017-08-01,93.6,51.1599,1.800045170755632,1.5098690686589435,31.509869068658944
2017-08-02,94.22,50.4,1.800767755983119,3.461305098450808,33.46130509845081
2017-08-03,93.77,50.38,1.8022230736429992,2.97400154986569,32.97400154986569
2017-08-04,95.1,50.4944,1.8035761568588045,4.029504105108785,34.029504105108785
2017-08-07,94.45,50.5,1.8054206651248252,3.2762564111963286,33.27625641119633
2017-08-08,94.35,50.42,1.8070208170593596,3.2400104038670747,33.240010403867075
