date,FITB,KBE,beta,value,price
2017-06-05,23.7,41.39,0.5848138027700392,-0.5054432966519258,29.494556703348074
2017-06-06,23.62,41.19,0.5841570447800789,-0.44142867449144774,29.558571325508552
2017-06-07,23.875,41.58,0.5836109334504054,-0.3915426128678554,29.608457387132145
2017-06-08,24.33,42.66,0.5831726596184155,-0.5481456593216052,29.451854340678395
2017-06-09,25.06,43.88,0.5827233229957691,-0.5098994130543524,29.490100586945648
2017-06-12,25.19,43.94,0.5823280326815728,-0.3974937560283074,29.602506243971693
2017-06-13,25.33,44.1,0.5819564239734407,-0.3342782972287388,29.66572170277126
2017-06-14,25.58,44.05,0.5816539573997132,-0.04185682345736552,29.958143176542634
2017-06-15,25.48,43.76,0.5813805847086141,0.03878561315104889,30.03878561315105
2017-06-16,25.47,43.49,0.5811695822641527,0.1949348673319946,30.194934867331995
2017-06-19,25.59,43.57,0.5810080132798164,0.2754808613983961,30.275480861398396
2017-06-20,25.56,43.03,0.5808549693944115,0.5658106669584697,30.56581066695847
2017-06-21,25.39,42.48,0.5808903575679147,0.7137776105149847,30.713777610514985
2017-06-22,25.14,42.2,0.5809948198629543,0.6220186017833278,30.622018601783328
2017-06-23,24.66,41.92,0.581004445289227,0.3042936534756038,30.304293653475604
2017-06-26,24.82,42.18,0.5809367718637956,0.3160869627851035,30.316086962785104
2017-06-27,25.09,42.42,0.5808479601873264,0.4504295288536113,30.45042952885361
2017-06-28,25.49,43.0,0.580851696461775,0.5133770521436709,30.51337705214367
2017-06-29,26.07,43.71,0.5808677723384662,0.6802696710856431,30.680269671085643
2017-06-30,25.96,43.52,0.5809334000621416,0.6777784292956,30.6777784292956
2017-07-03,26.47,44.41,0.5810202731758496,0.6668896682605201,30.66688966826052
2017-07-05,26.58,44.44,0.581102539780585,0.7558031321508025,30.755803132150803
2017-07-06,26.46,43.95,0.5812621399440788,0.913528949457735,30.913528949457735
2017-07-07,26.48,44.21,0.5815213733301443,0.7709400850743187,30.77094008507432
2017-07-10,26.34,44.03,0.5818140102892314,0.7227291269651417,30.72272912696514
2017-07-11,26.19,43.88,0.5821146784014153,0.6468079117458956,30.646807911745896
2017-07-12,26.11,43.84,0.5823522955113737,0.5796753647813766,30.579675364781377
2017-07-13,26.29,44.01,0.5825464998778581,0.6521285403754646,30.652128540375465
2017-07-14,26.08,43.78,0.5828768102347162,0.5616532479241236,30.561653247924124
2017-07-17,26.16,43.84,0.583145386050369,0.5949062755518213,30.59490627555182
2017-07-18,25.82,43.68,0.5833156637563777,0.3407718071214241,30.340771807121424
2017-07-19,25.8,43.55,0.5834848567989886,0.389234486404046,30.389234486404046
2017-07-20,25.49,43.52,0.5835969642421536,0.09186011618147205,30.091860116181472
2017-07-21,26.18,43.2,0.5837606139758097,0.9615414762450207,30.96154147624502
2017-07-24,26.43,43.5,0.5843606802646774,1.0103104084865357,31.010310408486536
2017-07-25,26.59,44.16,0.5849963999791358,0.7565589769213652,30.756558976921365
2017-07-26,26.18,43.43,0.5854927188321316,0.7520512211205244,30.752051221120524
2017-07-27,26.14,43.36,0.5859223623087791,0.7344063702913388,30.73440637029134
2017-07-28,26.38,43.09,0.5864261917520078,1.1108953974059794,31.11089539740598
2017-07-31,26.7,43.34,0.587056755376445,1.2569602219848726,31.256960221984873
2017-08-01,26.92,43.69,0.5877138035005985,1.242783925058852,31.242783925058852
2017-08-02,26.96,43.72,0.5884041586719435,1.2349701828626323,31.234970182862632
2017-08-03,26.9,43.47,0.5890625161264894,1.2934524239815062,31.293452423981506
2017-08-04,27.18,43.82,0.5897440757348057,1.3374146013008144,31.337414601300814
2017-08-07,27.03,43.56,0.5905558098146791,1.3053889244725774,31.305388924472577
2017-08-08,27.45,43.66,0.5913162538805359,1.6331323555758033,31.633132355575803
2017-08-09,27.14,43.25,0.5922880186449949,1.5235431936039703,31.52354319360397
2017-08-10,26.38,42.11,0.5931267483372403,1.4034326275188107,31.40343262751881
2017-08-11,26.11,41.85,0.593858101140341,1.257038467276729,31.25703846727673
2017-08-14,26.68,42.67,0.5945752637841247,1.309473494331396,31.309473494331396
2017-08-15,27.02,42.61,0.595353480091114,1.6519882133176331,31.651988213317633
2017-08-16,26.83,42.48,0.5961872265068776,1.5039666179878388,31.50396661798784
2017-08-17,26.26,41.41,0.5969328945062021,1.541008838498172,31.541008838498172
2017-08-18,26.33,41.4,0.5976864928392177,1.5857791964563859,31.585779196456386
2017-08-21,26.21,41.28,0.5985328860255723,1.5025624648643756,31.502562464864376
2017-08-22,26.62,41.7,0.5993457847235852,1.6272807770264954,31.627280777026495
2017-08-23,26.6,41.77,0.6002684407884205,1.5267872282676755,31.526787228267676
2017-08-24,26.85,41.92,0.6011450676757932,1.649998763030748,31.649998763030748
2017-08-25,26.67,42.14,0.6021311409844374,1.2961937189158093,31.29619371891581
2017-08-28,26.59,41.82,0.603035796543613,1.3710429885461046,31.371042988546105
2017-08-29,26.26,41.53,0.6040440411993969,1.1740509689890466,31.174050968989047
2017-08-30,26.3,41.73,0.6049659592064587,1.054770522314481,31.05477052231448
2017-08-31,26.13,41.72,0.6058415307619328,0.8542913366121638,30.854291336612164
2017-09-01,26.41,42.01,0.6066528376728232,0.9245142893646978,30.924514289364698
2017-09-05,25.79,40.77,0.6075956860322559,1.0183238804649264,31.018323880464926
2017-09-06,25.77,40.81,0.6086022568170653,0.9329418992955638,30.932941899295564
2017-09-07,24.97,39.81,0.609561461592448,0.7033582140046448,30.703358214004645
2017-09-08,25.1,40.22,0.6104346974972699,0.5483164666598093,30.54831646665981
2017-09-11,25.7,41.22,0.6111589495155215,0.5080281009702041,30.508028100970204
2017-09-12,26.18,42.11,0.6118529927159563,0.4148704767310818,30.414870476731082
2017-09-13,26.33,42.23,0.6124635988886397,0.46566221893274573,30.465662218932746
2017-09-14,26.31,41.87,0.6130780306563982,0.6404228564166061,30.640422856416606
2017-09-15,26.52,41.91,0.6136451447710853,0.8021319826438145,30.802131982643814
2017-09-18,26.87,42.43,0.6142149960677687,0.8088577168445745,30.808857716844575
2017-09-19,27.18,42.73,0.6148288143780799,0.9083647616246466,30.908364761624647
2017-09-20,27.41,43.25,0.6156089238366892,0.7849140440631928,30.784914044063193
2017-09-21,27.54,43.43,0.6163592504977727,0.7715177508817277,30.771517750881728
2017-09-22,27.31,43.48,0.6170725352676389,0.4796861665630594,30.47968616656306
2017-09-25,27.14,43.5,0.617671296694267,0.27129859379938637,30.271298593799386
2017-09-26,27.39,43.74,0.6181483756460452,0.35219004924198316,30.352190049241983
2017-09-27,27.68,44.65,0.618661888995949,0.05674665633087983,30.05674665633088
2017-09-28,27.59,44.86,0.619091207234606,-0.18243155654442234,29.817568443455578
2017-09-29,27.98,45.09,0.619393843765691,0.05153158460499441,30.051531584604994
2017-10-02,27.87,45.33,0.6197196301774466,-0.22189083594365044,29.77810916405635
2017-10-03,27.91,45.18,0.6199968684215387,-0.10145851528511685,29.898541484714883
2017-10-04,27.81,44.7,0.6203382822693617,0.08087878255952674,30.080878782559527
2017-10-05,28.22,45.27,0.6207811821547844,0.1172358838529064,30.117235883852906
2017-10-06,28.19,45.29,0.6212681561979353,0.052765205795513026,30.052765205795513
2017-10-09,28.13,45.08,0.6217087984719465,0.10336736488465093,30.10336736488465
2017-10-10,28.42,45.43,0.6222015133402743,0.15338524895134142,30.15338524895134
2017-10-11,28.26,45.2,0.6227067062541976,0.11365687731026952,30.11365687731027
2017-10-12,28.15,44.89,0.6232965670648362,0.17021710445950333,30.170217104459503
2017-10-13,28.06,44.68,0.6238929027519515,0.1844651050428041,30.184465105042804
2017-10-16,28.37,44.93,0.6246179990719118,0.30591330169900033,30.305913301699
2017-10-17,27.97,44.54,0.6250535142269029,0.13011647633374324,30.130116476333743
2017-10-18,28.07,44.86,0.6254023877293282,0.014448886462336219,30.014448886462336
2017-10-19,28.28,45.13,0.6258155690399491,0.03694336922709951,30.0369433692271
2017-10-20,28.6,45.74,0.6262194690884482,-0.0432785161056195,29.95672148389438
2017-10-23,28.43,45.35,0.6265946682083294,0.013931796752260084,30.01393179675226
2017-10-24,28.6,45.68,0.6268388792458188,-0.0340000039490036,29.965999996050996
2017-10-25,28.58,45.45,0.6270055246577966,0.08259890430314343,30.082598904303143
2017-10-26,28.85,45.9,0.6272232302018147,0.060453733736707704,30.060453733736708
2017-10-27,29.07,46.21,0.6274274478285439,0.07657763584298749,30.076577635842987
2017-10-30,29.01,45.62,0.6276030783327023,0.3787475664621205,30.37874756646212
2017-10-31,28.9,45.61,0.6278808212287063,0.2623557437587074,30.262355743758707
2017-11-01,28.96,45.51,0.6281100014007058,0.37471383625387844,30.37471383625388
2017-11-02,29.26,45.81,0.6282502294351827,0.47985698957428014,30.47985698957428
2017-11-03,29.12,45.67,0.6284559951249498,0.4184147026435454,30.418414702643545
2017-11-06,29.24,45.55,0.6286550425620085,0.6047628113005104,30.60476281130051
2017-11-07,28.45,44.49,0.6289693843282781,0.46715209123490453,30.467152091234905
2017-11-08,28.3,44.19,0.6292102170696218,0.49520050769341495,30.495200507693415
2017-11-09,28.01,43.79,0.6293234733457941,0.4519251021876798,30.45192510218768
2017-11-10,27.67,43.68,0.6294604902360317,0.1751657864901368,30.175165786490137
2017-11-13,28.19,44.24,0.629457144062337,0.3428159466822116,30.34281594668221
2017-11-14,28.61,44.54,0.6294916527611606,0.5724417860179081,30.572441786017908
2017-11-15,28.46,44.65,0.6296324018885014,0.34691325567841247,30.346913255678412
2017-11-16,28.47,44.64,0.6296349739419584,0.363094763230972,30.363094763230972
2017-11-17,28.45,44.9,0.6296666830860664,0.17796592943561862,30.17796592943562
2017-11-20,28.57,45.29,0.6295714022051023,0.05671119413091574,30.056711194130916
2017-11-21,28.48,45.25,0.6295428141951368,-0.006812342329940435,29.99318765767006
2017-11-22,28.42,45.1,0.6294460284082235,0.03198411878912211,30.031984118789122
2017-11-24,28.2,44.88,0.629416060632276,-0.04819280117654756,29.951807198823452
2017-11-27,28.4,44.88,0.6293853330247414,0.15318625384960072,30.1531862538496
2017-11-28,29.24,46.33,0.6294893007500283,0.0757606962511872,30.075760696251187
2017-11-29,30.46,47.74,0.6295315042963961,0.4061659848900483,30.40616598489005
2017-11-30,30.51,47.45,0.6296525033629665,0.6329887154272384,30.63298871542724
2017-12-01,30.69,47.53,0.6298794555224592,0.7518294790175162,30.751829479017516
