date,JPM,XLF,beta,value,price
2011-07-06,40.56,15.41,2.753586044734479,-1.872760949358323,28.127239050641677
2011-07-07,41.32,15.66,2.749912559482779,-1.7436306815003206,28.25636931849968
2011-07-08,40.74,15.46,2.746248315264072,-1.7169989539825536,28.283001046017446
2011-07-11,39.43,15.04,2.742629506823823,-1.8191477826302958,28.180852217369704
2011-07-12,39.39,14.98,2.7389525822581064,-1.6395096822264321,28.360490317773568
2011-07-13,39.62,14.99,2.73638252135629,-1.3983739951307896,28.60162600486921
2011-07-14,40.35,14.88,2.734127459802445,-0.3338166018603843,29.666183398139616
2011-07-15,39.98,14.85,2.7333070463612237,-0.6096096384641712,29.39039036153583
2011-07-18,39.83,14.65,2.731572222181394,-0.18753305495742723,29.812466945042573
2011-07-19,40.39,14.831,2.730459418086485,-0.10544362964066067,29.89455637035934
2011-07-20,40.96,15.0,2.7295421425254847,0.01686786211772784,30.016867862117728
2011-07-21,42.29,15.36,2.7287514780858833,0.3763772966008361,30.376377296600836
2011-07-22,42.19,15.32,2.7280584187983727,0.3961450240089235,30.396145024008923
2011-07-25,41.69,15.21,2.7272419668554733,0.2086496841282468,30.208649684128247
2011-07-26,41.44,15.19,2.7261994890147325,0.02902976186621231,30.029029761866212
2011-07-27,40.67,14.83,2.725103718993271,0.2567118473297896,30.25671184732979
2011-07-28,40.68,14.84,2.724526168767175,0.24803165549512585,30.248031655495126
2011-07-29,40.45,14.795,2.7232838704509796,0.15901513667775902,30.15901513667776
2011-08-01,40.44,14.75,2.72197712365713,0.29083742605732965,30.29083742605733
2011-08-02,39.84,14.349,2.720523144603445,0.8032133980851768,30.803213398085177
