date,MSFT,XLK,beta,value,price
2013-08-30,33.4,31.4,1.0599493697924334,0.11758978851759139,30.11758978851759
2013-09-03,31.88,31.431,1.0591518073052641,-1.4102004554117578,28.589799544588242
2013-09-04,31.195,31.735,1.0573162502918592,-2.3589312030121476,27.641068796987852
2013-09-05,31.235,31.75,1.0550822914457003,-2.2638627534009856,27.736137246599014
2013-09-06,31.152,31.77,1.0530199266114508,-2.3024430684457897,27.69755693155421
2013-09-09,31.655,32.15,1.0507102361643865,-2.125334092685023,27.874665907314977
2013-09-10,32.39,32.35,1.0487792127477764,-1.5380075323905658,28.461992467609434
2013-09-11,32.74,32.2,1.047169793317254,-0.9788673448155762,29.021132655184424
2013-09-12,32.69,32.225,1.0456749607315874,-1.0068756095754097,28.99312439042459
2013-09-13,33.03,32.255,1.044282033168752,-0.6533169798580971,29.346683020141903
2013-09-16,32.801,32.21,1.0430679622056265,-0.7962190626432246,29.203780937356775
2013-09-17,32.93,32.37,1.0419687782883786,-0.7985293531948159,29.201470646805184
2013-09-18,33.32,32.779,1.0407931451101358,-0.7961585035651453,29.203841496434855
2013-09-19,33.64,32.805,1.0391911802947367,-0.4506666695688324,29.549333330431168
2013-09-20,32.791,32.415,1.0378990385367275,-0.8524973341680209,29.14750266583198
2013-09-23,32.74,32.51,1.0361232427330838,-0.9443666212525486,29.05563337874745
2013-09-24,32.455,32.37,1.0342085120990772,-1.0223295366471277,28.977670463352872
2013-09-25,32.505,32.32,1.0322022599526686,-0.8557770416702439,29.144222958329756
2013-09-26,32.77,32.44,1.0304285968414937,-0.6571036815380467,29.342896318461953
2013-09-27,33.27,32.24,1.0289697114066492,0.09601650424963282,30.096016504249633
2013-09-30,33.28,32.04,1.0279407356674695,0.3447788292142775,30.344778829214277
2013-10-01,33.58,32.32,1.0270221397667605,0.38664444273830156,30.3866444427383
2013-10-02,33.92,32.33,1.0260455660889396,0.7479468483445828,30.747946848344583
2013-10-03,33.86,32.05,1.025290338525064,0.9994446502716983,30.9994446502717
