date,MAS,XHB,beta,value,price
2011-04-05,14.16,18.27,0.7606517366095553,0.26289277214342555,30.262892772143424
2011-04-06,14.09,18.39,0.7606656221091563,0.1013592094126139,30.101359209412614
2011-04-07,13.93,18.61,0.760544402497777,-0.22373133048363059,29.77626866951637
2011-04-08,13.41,18.49,0.7601968636219206,-0.6460400083693116,29.35395999163069
2011-04-11,13.51,18.44,0.7595889222310588,-0.49681972594072477,29.503180274059275
2011-04-12,13.28,18.33,0.7590626135068113,-0.6336177055798498,29.36638229442015
2011-04-13,13.43,18.32,0.7584136347861475,-0.4641377892822227,29.535862210717777
2011-04-14,13.43,18.34,0.7582166992505325,-0.47569426425476635,29.524305735745234
2011-04-15,13.18,18.53,0.758087740491956,-0.8673658313159471,29.132634168684053
2011-04-18,13.22,18.42,0.7574486963164336,-0.7322049861487088,29.26779501385129
2011-04-19,13.47,18.61,0.7568476773657827,-0.6149352757772153,29.385064724222786
2011-04-20,13.5,18.82,0.7564567360291724,-0.7365157720690245,29.263484227930974
2011-04-21,13.4,18.82,0.7559416009599854,-0.8268209300669263,29.173179069933074
2011-04-25,13.38,18.79,0.7553678605423434,-0.8133620995906305,29.18663790040937
2011-04-26,13.01,18.91,0.7544950299292786,-1.25750101596266,28.74249898403734
2011-04-27,13.24,19.0,0.7534233417390835,-1.0750434930425872,28.924956506957415
2011-04-28,13.6,19.05,0.7523981346882935,-0.733184465811993,29.266815534188005
2011-04-29,13.42,19.05,0.751342306279141,-0.8930709346176364,29.106929065382364
2011-05-02,13.51,18.88,0.750203557291974,-0.6538431616724676,29.34615683832753
2011-05-03,13.31,18.69,0.7491623499495227,-0.6918443205565801,29.30815567944342
2011-05-04,13.32,18.58,0.7478635814391986,-0.5753053431403092,29.424694656859693
2011-05-05,13.19,18.7,0.7465204941176371,-0.7699332399998138,29.230066760000184
2011-05-06,13.36,18.72,0.7448285233925541,-0.5831899579086137,29.416810042091385
2011-05-09,13.3,18.72,0.7433529010435874,-0.6155663075359552,29.384433692464043
2011-05-10,13.54,18.93,0.7420056419457182,-0.5061668020324461,29.493833197967554
2011-05-11,13.37,18.63,0.741097894442678,-0.4366537734670928,29.563346226532907
2011-05-12,13.5,18.75,0.7401504842779779,-0.37782158021208545,29.622178419787915
2011-05-13,13.22,18.56,0.7402774990960698,-0.5195503832230539,29.480449616776944
2011-05-16,13.01,18.36,0.7405749208643069,-0.5869555470686745,29.413044452931324
2011-05-17,13.07,18.24,0.7406642625677659,-0.4397161492360482,29.560283850763952
2011-05-18,13.41,18.51,0.7407651586735094,-0.30156308704666124,29.69843691295334
2011-05-19,13.81,18.53,0.740665038055751,0.08547684482693363,30.085476844826935
2011-05-20,14.25,18.43,0.7410205752023797,0.5929907990201411,30.592990799020143
